Question,qtype
Can you tell me what is Hypertension?,desc
What is Hypertension?,desc
What is the meaning of Hypertension?,desc
What is the definition of Hypertension?,desc
What is the description of Hypertension?,desc
Can you describe Hypertension?,desc
I want to know about Hypertension,desc
Provide information on Hypertension,desc
Give me details about Hypertension,desc
Explain Hypertension to me,desc
What does Hypertension mean?,desc
Could you elaborate on Hypertension?,desc
Help me understand Hypertension,desc
What are the characteristics of Hypertension?,desc
Briefly explain Hypertension,desc
Can you tell me what is Chronic cholestasis?,desc
What is Chronic cholestasis?,desc
What is the meaning of Chronic cholestasis?,desc
What is the definition of Chronic cholestasis?,desc
What is the description of Chronic cholestasis?,desc
Can you describe Chronic cholestasis?,desc
I want to know about Chronic cholestasis,desc
Provide information on Chronic cholestasis,desc
Give me details about Chronic cholestasis,desc
Explain Chronic cholestasis to me,desc
What does Chronic cholestasis mean?,desc
Could you elaborate on Chronic cholestasis?,desc
Help me understand Chronic cholestasis,desc
What are the characteristics of Chronic cholestasis?,desc
Briefly explain Chronic cholestasis,desc
Can you tell me what is Heart attack?,desc
What is Heart attack?,desc
What is the meaning of Heart attack?,desc
What is the definition of Heart attack?,desc
What is the description of Heart attack?,desc
Can you describe Heart attack?,desc
I want to know about Heart attack,desc
Provide information on Heart attack,desc
Give me details about Heart attack,desc
Explain Heart attack to me,desc
What does Heart attack mean?,desc
Could you elaborate on Heart attack?,desc
Help me understand Heart attack,desc
What are the characteristics of Heart attack?,desc
Briefly explain Heart attack,desc
Can you tell me what is Peptic ulcer diseae?,desc
What is Peptic ulcer diseae?,desc
What is the meaning of Peptic ulcer diseae?,desc
What is the definition of Peptic ulcer diseae?,desc
What is the description of Peptic ulcer diseae?,desc
Can you describe Peptic ulcer diseae?,desc
I want to know about Peptic ulcer diseae,desc
Provide information on Peptic ulcer diseae,desc
Give me details about Peptic ulcer diseae,desc
Explain Peptic ulcer diseae to me,desc
What does Peptic ulcer diseae mean?,desc
Could you elaborate on Peptic ulcer diseae?,desc
Help me understand Peptic ulcer diseae,desc
What are the characteristics of Peptic ulcer diseae?,desc
Briefly explain Peptic ulcer diseae,desc
Can you tell me what is Paralysis (brain hemorrhage)?,desc
What is Paralysis (brain hemorrhage)?,desc
What is the meaning of Paralysis (brain hemorrhage)?,desc
What is the definition of Paralysis (brain hemorrhage)?,desc
What is the description of Paralysis (brain hemorrhage)?,desc
Can you describe Paralysis (brain hemorrhage)?,desc
I want to know about Paralysis (brain hemorrhage),desc
Provide information on Paralysis (brain hemorrhage),desc
Give me details about Paralysis (brain hemorrhage),desc
Explain Paralysis (brain hemorrhage) to me,desc
What does Paralysis (brain hemorrhage) mean?,desc
Could you elaborate on Paralysis (brain hemorrhage)?,desc
Help me understand Paralysis (brain hemorrhage),desc
What are the characteristics of Paralysis (brain hemorrhage)?,desc
Briefly explain Paralysis (brain hemorrhage),desc
Can you tell me what is Urinary tract infection?,desc
What is Urinary tract infection?,desc
What is the meaning of Urinary tract infection?,desc
What is the definition of Urinary tract infection?,desc
What is the description of Urinary tract infection?,desc
Can you describe Urinary tract infection?,desc
I want to know about Urinary tract infection,desc
Provide information on Urinary tract infection,desc
Give me details about Urinary tract infection,desc
Explain Urinary tract infection to me,desc
What does Urinary tract infection mean?,desc
Could you elaborate on Urinary tract infection?,desc
Help me understand Urinary tract infection,desc
What are the characteristics of Urinary tract infection?,desc
Briefly explain Urinary tract infection,desc
Can you tell me what is Common Cold?,desc
What is Common Cold?,desc
What is the meaning of Common Cold?,desc
What is the definition of Common Cold?,desc
What is the description of Common Cold?,desc
Can you describe Common Cold?,desc
I want to know about Common Cold,desc
Provide information on Common Cold,desc
Give me details about Common Cold,desc
Explain Common Cold to me,desc
What does Common Cold mean?,desc
Could you elaborate on Common Cold?,desc
Help me understand Common Cold,desc
What are the characteristics of Common Cold?,desc
Briefly explain Common Cold,desc
Can you tell me what is Typhoid?,desc
What is Typhoid?,desc
What is the meaning of Typhoid?,desc
What is the definition of Typhoid?,desc
What is the description of Typhoid?,desc
Can you describe Typhoid?,desc
I want to know about Typhoid,desc
Provide information on Typhoid,desc
Give me details about Typhoid,desc
Explain Typhoid to me,desc
What does Typhoid mean?,desc
Could you elaborate on Typhoid?,desc
Help me understand Typhoid,desc
What are the characteristics of Typhoid?,desc
Briefly explain Typhoid,desc
Can you tell me what is Pneumonia?,desc
What is Pneumonia?,desc
What is the meaning of Pneumonia?,desc
What is the definition of Pneumonia?,desc
What is the description of Pneumonia?,desc
Can you describe Pneumonia?,desc
I want to know about Pneumonia,desc
Provide information on Pneumonia,desc
Give me details about Pneumonia,desc
Explain Pneumonia to me,desc
What does Pneumonia mean?,desc
Could you elaborate on Pneumonia?,desc
Help me understand Pneumonia,desc
What are the characteristics of Pneumonia?,desc
Briefly explain Pneumonia,desc
Can you tell me what is hepatitis A?,desc
What is hepatitis A?,desc
What is the meaning of hepatitis A?,desc
What is the definition of hepatitis A?,desc
What is the description of hepatitis A?,desc
Can you describe hepatitis A?,desc
I want to know about hepatitis A,desc
Provide information on hepatitis A,desc
Give me details about hepatitis A,desc
Explain hepatitis A to me,desc
What does hepatitis A mean?,desc
Could you elaborate on hepatitis A?,desc
Help me understand hepatitis A,desc
What are the characteristics of hepatitis A?,desc
Briefly explain hepatitis A,desc
Can you tell me what is Hypothyroidism?,desc
What is Hypothyroidism?,desc
What is the meaning of Hypothyroidism?,desc
What is the definition of Hypothyroidism?,desc
What is the description of Hypothyroidism?,desc
Can you describe Hypothyroidism?,desc
I want to know about Hypothyroidism,desc
Provide information on Hypothyroidism,desc
Give me details about Hypothyroidism,desc
Explain Hypothyroidism to me,desc
What does Hypothyroidism mean?,desc
Could you elaborate on Hypothyroidism?,desc
Help me understand Hypothyroidism,desc
What are the characteristics of Hypothyroidism?,desc
Briefly explain Hypothyroidism,desc
Can you tell me what is Varicose veins?,desc
What is Varicose veins?,desc
What is the meaning of Varicose veins?,desc
What is the definition of Varicose veins?,desc
What is the description of Varicose veins?,desc
Can you describe Varicose veins?,desc
I want to know about Varicose veins,desc
Provide information on Varicose veins,desc
Give me details about Varicose veins,desc
Explain Varicose veins to me,desc
What does Varicose veins mean?,desc
Could you elaborate on Varicose veins?,desc
Help me understand Varicose veins,desc
What are the characteristics of Varicose veins?,desc
Briefly explain Varicose veins,desc
Can you tell me what is Peptic ulcer diseae?,desc
What is Peptic ulcer diseae?,desc
What is the meaning of Peptic ulcer diseae?,desc
What is the definition of Peptic ulcer diseae?,desc
What is the description of Peptic ulcer diseae?,desc
Can you describe Peptic ulcer diseae?,desc
I want to know about Peptic ulcer diseae,desc
Provide information on Peptic ulcer diseae,desc
Give me details about Peptic ulcer diseae,desc
Explain Peptic ulcer diseae to me,desc
What does Peptic ulcer diseae mean?,desc
Could you elaborate on Peptic ulcer diseae?,desc
Help me understand Peptic ulcer diseae,desc
What are the characteristics of Peptic ulcer diseae?,desc
Briefly explain Peptic ulcer diseae,desc
Can you tell me what is Osteoarthristis?,desc
What is Osteoarthristis?,desc
What is the meaning of Osteoarthristis?,desc
What is the definition of Osteoarthristis?,desc
What is the description of Osteoarthristis?,desc
Can you describe Osteoarthristis?,desc
I want to know about Osteoarthristis,desc
Provide information on Osteoarthristis,desc
Give me details about Osteoarthristis,desc
Explain Osteoarthristis to me,desc
What does Osteoarthristis mean?,desc
Could you elaborate on Osteoarthristis?,desc
Help me understand Osteoarthristis,desc
What are the characteristics of Osteoarthristis?,desc
Briefly explain Osteoarthristis,desc
Can you tell me what is Hepatitis D?,desc
What is Hepatitis D?,desc
What is the meaning of Hepatitis D?,desc
What is the definition of Hepatitis D?,desc
What is the description of Hepatitis D?,desc
Can you describe Hepatitis D?,desc
I want to know about Hepatitis D,desc
Provide information on Hepatitis D,desc
Give me details about Hepatitis D,desc
Explain Hepatitis D to me,desc
What does Hepatitis D mean?,desc
Could you elaborate on Hepatitis D?,desc
Help me understand Hepatitis D,desc
What are the characteristics of Hepatitis D?,desc
Briefly explain Hepatitis D,desc
Can you tell me what is Migraine?,desc
What is Migraine?,desc
What is the meaning of Migraine?,desc
What is the definition of Migraine?,desc
What is the description of Migraine?,desc
Can you describe Migraine?,desc
I want to know about Migraine,desc
Provide information on Migraine,desc
Give me details about Migraine,desc
Explain Migraine to me,desc
What does Migraine mean?,desc
Could you elaborate on Migraine?,desc
Help me understand Migraine,desc
What are the characteristics of Migraine?,desc
Briefly explain Migraine,desc
Can you tell me what is Dengue?,desc
What is Dengue?,desc
What is the meaning of Dengue?,desc
What is the definition of Dengue?,desc
What is the description of Dengue?,desc
Can you describe Dengue?,desc
I want to know about Dengue,desc
Provide information on Dengue,desc
Give me details about Dengue,desc
Explain Dengue to me,desc
What does Dengue mean?,desc
Could you elaborate on Dengue?,desc
Help me understand Dengue,desc
What are the characteristics of Dengue?,desc
Briefly explain Dengue,desc
Can you tell me what is Allergy?,desc
What is Allergy?,desc
What is the meaning of Allergy?,desc
What is the definition of Allergy?,desc
What is the description of Allergy?,desc
Can you describe Allergy?,desc
I want to know about Allergy,desc
Provide information on Allergy,desc
Give me details about Allergy,desc
Explain Allergy to me,desc
What does Allergy mean?,desc
Could you elaborate on Allergy?,desc
Help me understand Allergy,desc
What are the characteristics of Allergy?,desc
Briefly explain Allergy,desc
Can you tell me what is Allergy?,desc
What is Allergy?,desc
What is the meaning of Allergy?,desc
What is the definition of Allergy?,desc
What is the description of Allergy?,desc
Can you describe Allergy?,desc
I want to know about Allergy,desc
Provide information on Allergy,desc
Give me details about Allergy,desc
Explain Allergy to me,desc
What does Allergy mean?,desc
Could you elaborate on Allergy?,desc
Help me understand Allergy,desc
What are the characteristics of Allergy?,desc
Briefly explain Allergy,desc
Can you tell me what is Arthritis?,desc
What is Arthritis?,desc
What is the meaning of Arthritis?,desc
What is the definition of Arthritis?,desc
What is the description of Arthritis?,desc
Can you describe Arthritis?,desc
I want to know about Arthritis,desc
Provide information on Arthritis,desc
Give me details about Arthritis,desc
Explain Arthritis to me,desc
What does Arthritis mean?,desc
Could you elaborate on Arthritis?,desc
Help me understand Arthritis,desc
What are the characteristics of Arthritis?,desc
Briefly explain Arthritis,desc
Can you tell me what is Jaundice?,desc
What is Jaundice?,desc
What is the meaning of Jaundice?,desc
What is the definition of Jaundice?,desc
What is the description of Jaundice?,desc
Can you describe Jaundice?,desc
I want to know about Jaundice,desc
Provide information on Jaundice,desc
Give me details about Jaundice,desc
Explain Jaundice to me,desc
What does Jaundice mean?,desc
Could you elaborate on Jaundice?,desc
Help me understand Jaundice,desc
What are the characteristics of Jaundice?,desc
Briefly explain Jaundice,desc
Can you tell me what is Alcoholic hepatitis?,desc
What is Alcoholic hepatitis?,desc
What is the meaning of Alcoholic hepatitis?,desc
What is the definition of Alcoholic hepatitis?,desc
What is the description of Alcoholic hepatitis?,desc
Can you describe Alcoholic hepatitis?,desc
I want to know about Alcoholic hepatitis,desc
Provide information on Alcoholic hepatitis,desc
Give me details about Alcoholic hepatitis,desc
Explain Alcoholic hepatitis to me,desc
What does Alcoholic hepatitis mean?,desc
Could you elaborate on Alcoholic hepatitis?,desc
Help me understand Alcoholic hepatitis,desc
What are the characteristics of Alcoholic hepatitis?,desc
Briefly explain Alcoholic hepatitis,desc
Can you tell me what is Dimorphic hemmorhoids(piles)?,desc
What is Dimorphic hemmorhoids(piles)?,desc
What is the meaning of Dimorphic hemmorhoids(piles)?,desc
What is the definition of Dimorphic hemmorhoids(piles)?,desc
What is the description of Dimorphic hemmorhoids(piles)?,desc
Can you describe Dimorphic hemmorhoids(piles)?,desc
I want to know about Dimorphic hemmorhoids(piles),desc
Provide information on Dimorphic hemmorhoids(piles),desc
Give me details about Dimorphic hemmorhoids(piles),desc
Explain Dimorphic hemmorhoids(piles) to me,desc
What does Dimorphic hemmorhoids(piles) mean?,desc
Could you elaborate on Dimorphic hemmorhoids(piles)?,desc
Help me understand Dimorphic hemmorhoids(piles),desc
What are the characteristics of Dimorphic hemmorhoids(piles)?,desc
Briefly explain Dimorphic hemmorhoids(piles),desc
Can you tell me what is Varicose veins?,desc
What is Varicose veins?,desc
What is the meaning of Varicose veins?,desc
What is the definition of Varicose veins?,desc
What is the description of Varicose veins?,desc
Can you describe Varicose veins?,desc
I want to know about Varicose veins,desc
Provide information on Varicose veins,desc
Give me details about Varicose veins,desc
Explain Varicose veins to me,desc
What does Varicose veins mean?,desc
Could you elaborate on Varicose veins?,desc
Help me understand Varicose veins,desc
What are the characteristics of Varicose veins?,desc
Briefly explain Varicose veins,desc
Can you tell me what is (vertigo) Paroymsal  Positional Vertigo?,desc
What is (vertigo) Paroymsal  Positional Vertigo?,desc
What is the meaning of (vertigo) Paroymsal  Positional Vertigo?,desc
What is the definition of (vertigo) Paroymsal  Positional Vertigo?,desc
What is the description of (vertigo) Paroymsal  Positional Vertigo?,desc
Can you describe (vertigo) Paroymsal  Positional Vertigo?,desc
I want to know about (vertigo) Paroymsal  Positional Vertigo,desc
Provide information on (vertigo) Paroymsal  Positional Vertigo,desc
Give me details about (vertigo) Paroymsal  Positional Vertigo,desc
Explain (vertigo) Paroymsal  Positional Vertigo to me,desc
What does (vertigo) Paroymsal  Positional Vertigo mean?,desc
Could you elaborate on (vertigo) Paroymsal  Positional Vertigo?,desc
Help me understand (vertigo) Paroymsal  Positional Vertigo,desc
What are the characteristics of (vertigo) Paroymsal  Positional Vertigo?,desc
Briefly explain (vertigo) Paroymsal  Positional Vertigo,desc
Can you tell me what is Hepatitis C?,desc
What is Hepatitis C?,desc
What is the meaning of Hepatitis C?,desc
What is the definition of Hepatitis C?,desc
What is the description of Hepatitis C?,desc
Can you describe Hepatitis C?,desc
I want to know about Hepatitis C,desc
Provide information on Hepatitis C,desc
Give me details about Hepatitis C,desc
Explain Hepatitis C to me,desc
What does Hepatitis C mean?,desc
Could you elaborate on Hepatitis C?,desc
Help me understand Hepatitis C,desc
What are the characteristics of Hepatitis C?,desc
Briefly explain Hepatitis C,desc
Can you tell me what is Gastroenteritis?,desc
What is Gastroenteritis?,desc
What is the meaning of Gastroenteritis?,desc
What is the definition of Gastroenteritis?,desc
What is the description of Gastroenteritis?,desc
Can you describe Gastroenteritis?,desc
I want to know about Gastroenteritis,desc
Provide information on Gastroenteritis,desc
Give me details about Gastroenteritis,desc
Explain Gastroenteritis to me,desc
What does Gastroenteritis mean?,desc
Could you elaborate on Gastroenteritis?,desc
Help me understand Gastroenteritis,desc
What are the characteristics of Gastroenteritis?,desc
Briefly explain Gastroenteritis,desc
Can you tell me what is Peptic ulcer diseae?,desc
What is Peptic ulcer diseae?,desc
What is the meaning of Peptic ulcer diseae?,desc
What is the definition of Peptic ulcer diseae?,desc
What is the description of Peptic ulcer diseae?,desc
Can you describe Peptic ulcer diseae?,desc
I want to know about Peptic ulcer diseae,desc
Provide information on Peptic ulcer diseae,desc
Give me details about Peptic ulcer diseae,desc
Explain Peptic ulcer diseae to me,desc
What does Peptic ulcer diseae mean?,desc
Could you elaborate on Peptic ulcer diseae?,desc
Help me understand Peptic ulcer diseae,desc
What are the characteristics of Peptic ulcer diseae?,desc
Briefly explain Peptic ulcer diseae,desc
Can you tell me what is Paralysis (brain hemorrhage)?,desc
What is Paralysis (brain hemorrhage)?,desc
What is the meaning of Paralysis (brain hemorrhage)?,desc
What is the definition of Paralysis (brain hemorrhage)?,desc
What is the description of Paralysis (brain hemorrhage)?,desc
Can you describe Paralysis (brain hemorrhage)?,desc
I want to know about Paralysis (brain hemorrhage),desc
Provide information on Paralysis (brain hemorrhage),desc
Give me details about Paralysis (brain hemorrhage),desc
Explain Paralysis (brain hemorrhage) to me,desc
What does Paralysis (brain hemorrhage) mean?,desc
Could you elaborate on Paralysis (brain hemorrhage)?,desc
Help me understand Paralysis (brain hemorrhage),desc
What are the characteristics of Paralysis (brain hemorrhage)?,desc
Briefly explain Paralysis (brain hemorrhage),desc
Can you tell me what is AIDS?,desc
What is AIDS?,desc
What is the meaning of AIDS?,desc
What is the definition of AIDS?,desc
What is the description of AIDS?,desc
Can you describe AIDS?,desc
I want to know about AIDS,desc
Provide information on AIDS,desc
Give me details about AIDS,desc
Explain AIDS to me,desc
What does AIDS mean?,desc
Could you elaborate on AIDS?,desc
Help me understand AIDS,desc
What are the characteristics of AIDS?,desc
Briefly explain AIDS,desc
Can you tell me what is Hypoglycemia?,desc
What is Hypoglycemia?,desc
What is the meaning of Hypoglycemia?,desc
What is the definition of Hypoglycemia?,desc
What is the description of Hypoglycemia?,desc
Can you describe Hypoglycemia?,desc
I want to know about Hypoglycemia,desc
Provide information on Hypoglycemia,desc
Give me details about Hypoglycemia,desc
Explain Hypoglycemia to me,desc
What does Hypoglycemia mean?,desc
Could you elaborate on Hypoglycemia?,desc
Help me understand Hypoglycemia,desc
What are the characteristics of Hypoglycemia?,desc
Briefly explain Hypoglycemia,desc
Can you tell me what is Urinary tract infection?,desc
What is Urinary tract infection?,desc
What is the meaning of Urinary tract infection?,desc
What is the definition of Urinary tract infection?,desc
What is the description of Urinary tract infection?,desc
Can you describe Urinary tract infection?,desc
I want to know about Urinary tract infection,desc
Provide information on Urinary tract infection,desc
Give me details about Urinary tract infection,desc
Explain Urinary tract infection to me,desc
What does Urinary tract infection mean?,desc
Could you elaborate on Urinary tract infection?,desc
Help me understand Urinary tract infection,desc
What are the characteristics of Urinary tract infection?,desc
Briefly explain Urinary tract infection,desc
Can you tell me what is Hypothyroidism?,desc
What is Hypothyroidism?,desc
What is the meaning of Hypothyroidism?,desc
What is the definition of Hypothyroidism?,desc
What is the description of Hypothyroidism?,desc
Can you describe Hypothyroidism?,desc
I want to know about Hypothyroidism,desc
Provide information on Hypothyroidism,desc
Give me details about Hypothyroidism,desc
Explain Hypothyroidism to me,desc
What does Hypothyroidism mean?,desc
Could you elaborate on Hypothyroidism?,desc
Help me understand Hypothyroidism,desc
What are the characteristics of Hypothyroidism?,desc
Briefly explain Hypothyroidism,desc
Can you tell me what is Diabetes?,desc
What is Diabetes?,desc
What is the meaning of Diabetes?,desc
What is the definition of Diabetes?,desc
What is the description of Diabetes?,desc
Can you describe Diabetes?,desc
I want to know about Diabetes,desc
