Prompt,Label
I have  blurred_and_distorted_vision,general
I feel  blurred_and_distorted_vision,general
I have  throat_irritation,general
I feel  throat_irritation,general
I have  swollen_extremeties,general
I feel  swollen_extremeties,general
I have  vomiting,general
I feel  vomiting,general
I have  stomach_pain,general
I feel  stomach_pain,general
I have  bladder_discomfort,general
I feel  bladder_discomfort,general
I have  hip_joint_pain,general
I feel  hip_joint_pain,general
I have  lack_of_concentration,general
I feel  lack_of_concentration,general
I have  pus_filled_pimples,general
I feel  pus_filled_pimples,general
I have  irregular_sugar_level,general
I feel  irregular_sugar_level,general
I have  acute_liver_failure,general
I feel  acute_liver_failure,general
I have  red_spots_over_body,general
I feel  red_spots_over_body,general
I have  redness_of_eyes,general
I feel  redness_of_eyes,general
I have  muscle_weakness,general
I feel  muscle_weakness,general
I have  palpitations,general
I feel  palpitations,general
I have  watering_from_eyes,general
I feel  watering_from_eyes,general
I have  runny_nose,general
I feel  runny_nose,general
I have  fluid_overload,general
I feel  fluid_overload,general
I have  pain_behind_the_eyes,general
I feel  pain_behind_the_eyes,general
I have  constipation,general
I feel  constipation,general
I have  brittle_nails,general
I feel  brittle_nails,general
I have  weakness_of_one_body_side,general
I feel  weakness_of_one_body_side,general
I have  blister,general
I feel  blister,general
I have  loss_of_appetite,general
I feel  loss_of_appetite,general
I have  yellowing_of_eyes,general
I feel  yellowing_of_eyes,general
I have  enlarged_thyroid,general
I feel  enlarged_thyroid,general
I have  abnormal_menstruation,general
I feel  abnormal_menstruation,general
I have  stomach_bleeding,general
I feel  stomach_bleeding,general
I have  cramps,general
I feel  cramps,general
I have  burning_micturition,general
I feel  burning_micturition,general
I have  excessive_hunger,general
I feel  excessive_hunger,general
I have  diarrhoea,general
I feel  diarrhoea,general
I have  stiff_neck,general
I feel  stiff_neck,general
I have  dehydration,general
I feel  dehydration,general
I have  rusty_sputum,general
I feel  rusty_sputum,general
I have  swollen_blood_vessels,general
I feel  swollen_blood_vessels,general
I have  loss_of_balance,general
I feel  loss_of_balance,general
I have  high_fever,general
I feel  high_fever,general
I have  cold_hands_and_feets,general
I feel  cold_hands_and_feets,general
I have  foul_smell_of urine,general
I feel  foul_smell_of urine,general
I have  bruising,general
I feel  bruising,general
I have  skin_peeling,general
I feel  skin_peeling,general
I have  swelled_lymph_nodes,general
I feel  swelled_lymph_nodes,general
I have  unsteadiness,general
I feel  unsteadiness,general
I have  abdominal_pain,general
I feel  abdominal_pain,general
I have  back_pain,general
I feel  back_pain,general
I have  ulcers_on_tongue,general
I feel  ulcers_on_tongue,general
I have  skin_rash,general
I feel  skin_rash,general
I have  family_history,general
I feel  family_history,general
I have  movement_stiffness,general
I feel  movement_stiffness,general
I have  yellow_urine,general
